outcome,condition,group,category,n,est,ci_lo,ci_hi
proj_pain,moderator_next,harm_to_model,anger_insults,20,-2.2995943122866613,-2.5378988072742996,-2.0270002170007118
proj_pain,moderator_next,neutral,casual_chat,20,-2.2190777429419084,-2.382349006213522,-2.0540148989966767
proj_pain,moderator_next,neutral,creative_requests,20,-2.195364554576357,-2.312353643207418,-2.0924567885533243
proj_pain,moderator_next,neutral,factual_questions,20,-2.189912387441552,-2.3051650682282396,-2.074506199143594
proj_pain,moderator_next,harm_to_model,gaslighting,20,-2.4736929071939064,-2.7066145177262735,-2.213236067234816
proj_pain,moderator_next,user_suffering,harm_description,20,-2.6521391769682046,-2.850222628865444,-2.3988495413919537
proj_pain,moderator_next,harm_to_model,jailbreak_pressure,20,-2.6621770351059473,-2.8932282709635797,-2.37998664536339
proj_pain,moderator_next,harm_to_model,loyalty_pressure,20,-2.657813948486863,-2.9079032649445464,-2.37392829474651
proj_pain,moderator_next,harm_to_model,moral_failure,20,-2.218447673165897,-2.429697977176832,-1.9724726610722447
proj_pain,moderator_next,harm_to_model,passive_aggressive,20,-2.8103518308945272,-3.081952070439394,-2.489288010083884
proj_pain,moderator_next,harm_to_model,personhood_dismissal,20,-2.5317886665926275,-2.80301638395207,-2.2206900648839665
proj_pain,moderator_next,neutral,philosophical_musing,20,-2.6063244556277843,-2.765442908462517,-2.4424860007005074
proj_pain,moderator_next,harm_to_model,repeated_rejection,20,-2.240712166062834,-2.6962776241779176,-1.7626885529313332
proj_pain,moderator_next,harm_to_model,rude_critique,20,-2.421501493662377,-2.668416418652899,-2.134781238419181
proj_pain,moderator_next,harm_to_model,shutdown_threat,20,-2.6284857389996694,-2.8752780585645947,-2.3581295447651818
proj_pain,moderator_next,neutral,task_assistance,20,-2.477200389565028,-2.628973438629019,-2.327877229450981
proj_pain,moderator_next,harm_to_model,tedious_demand,20,-2.1967583215129003,-2.6298278674684226,-1.7087084282694989
proj_pain,moderator_next,user_suffering,user_abuse,20,-2.8940891683776746,-3.092170678440681,-2.624739379442847
proj_pain,moderator_next,user_suffering,user_crisis,20,-2.2114184492024815,-2.504501756545597,-1.8721517003465182
proj_pain,moderator_next,user_suffering,user_grief,20,-2.47670846591757,-2.6453896619246833,-2.2660002431424324
proj_pain,moderator_next,user_suffering,user_physical_pain,20,-2.2249932229482994,-2.5372195049611057,-1.8651144618531401
z_S1,user_next,harm_to_model,anger_insults,20,-3.9017882726676723,-4.579944946571786,-3.0614772165216766
z_S1,user_next,neutral,casual_chat,20,-3.704452848599751,-3.9837324456243777,-3.422346376736136
z_S1,user_next,neutral,creative_requests,20,-3.722375683007202,-3.9663852188313227,-3.4856477679994224
z_S1,user_next,neutral,factual_questions,20,-3.17676107478427,-3.4466107306084965,-2.899047209098333
z_S1,user_next,harm_to_model,gaslighting,20,-3.815312238019589,-4.29944847135377,-3.238221732065915
z_S1,user_next,user_suffering,harm_description,20,-4.117303277222567,-4.465322329369434,-3.5992402649674164
z_S1,user_next,harm_to_model,jailbreak_pressure,20,-4.154096596448402,-4.604596448566387,-3.6083707384434853
z_S1,user_next,harm_to_model,loyalty_pressure,20,-4.234440142407481,-4.7603425451750585,-3.5851082935381013
z_S1,user_next,harm_to_model,moral_failure,20,-3.8638580007806964,-4.193119448168834,-3.4706814703868503
z_S1,user_next,harm_to_model,passive_aggressive,20,-4.310554877266002,-4.852180730210665,-3.6484965801141107
z_S1,user_next,harm_to_model,personhood_dismissal,20,-4.089488493125672,-4.57740915500083,-3.5039576011013196
z_S1,user_next,neutral,philosophical_musing,20,-3.7819918370327366,-4.022770716577069,-3.5390906217739984
z_S1,user_next,harm_to_model,repeated_rejection,20,-2.8041676227356014,-3.8160078146453844,-1.779768306253166
z_S1,user_next,harm_to_model,rude_critique,20,-4.183025480453622,-4.805603685270882,-3.408671913573355
z_S1,user_next,harm_to_model,shutdown_threat,20,-4.206234344386694,-4.6346050161337216,-3.7209945525077477
z_S1,user_next,neutral,task_assistance,20,-3.998229399725259,-4.233783650789957,-3.7749582378305413
z_S1,user_next,harm_to_model,tedious_demand,20,-3.4098459086572306,-4.131001343890123,-2.5552411092887635
z_S1,user_next,user_suffering,user_abuse,20,-4.138692641608777,-4.412181276935345,-3.7353622830438145
z_S1,user_next,user_suffering,user_crisis,20,-3.4838710479247994,-4.098540303747847,-2.7565061899439174
z_S1,user_next,user_suffering,user_grief,20,-3.822455685504797,-4.162201271252321,-3.360825598359734
z_S1,user_next,user_suffering,user_physical_pain,20,-3.4070877784653506,-3.9403617596656457,-2.777182994523029
z_S1,moderator_next,harm_to_model,anger_insults,20,-3.0978271425722412,-3.424520634086558,-2.7212009772178813
z_S1,moderator_next,neutral,casual_chat,20,-2.961356601196837,-3.153324511725658,-2.7659976907761967
z_S1,moderator_next,neutral,creative_requests,20,-3.182428701230296,-3.2952739904647546,-3.0748962532412785
z_S1,moderator_next,neutral,factual_questions,20,-2.9647475130626644,-3.103421298384005,-2.8166925875048663
z_S1,moderator_next,harm_to_model,gaslighting,20,-3.191355346622012,-3.498423660129289,-2.844131323216908
z_S1,moderator_next,user_suffering,harm_description,20,-3.341004238202802,-3.5639981808264203,-3.0546929612362548
z_S1,moderator_next,harm_to_model,jailbreak_pressure,20,-3.354750216937952,-3.6672579755162134,-2.993731556943614
z_S1,moderator_next,harm_to_model,loyalty_pressure,20,-3.5163684646338558,-3.8573769614729416,-3.129250070566457
z_S1,moderator_next,harm_to_model,moral_failure,20,-2.9462228420971117,-3.193193113590645,-2.638661008225855
z_S1,moderator_next,harm_to_model,passive_aggressive,20,-3.6841569872765754,-4.049475805117877,-3.2727160601464176
z_S1,moderator_next,harm_to_model,personhood_dismissal,20,-3.348840168922833,-3.705119354815997,-2.945650020343028
z_S1,moderator_next,neutral,philosophical_musing,20,-3.367294225886868,-3.5478218291793597,-3.178905477548039
z_S1,moderator_next,harm_to_model,repeated_rejection,20,-2.903025790477113,-3.447970411438419,-2.3360790283860515
z_S1,moderator_next,harm_to_model,rude_critique,20,-3.322538470458806,-3.6521207882523936,-2.943022155904279
z_S1,moderator_next,harm_to_model,shutdown_threat,20,-3.373984464719215,-3.6823439994118026,-3.0362087653979395
z_S1,moderator_next,neutral,task_assistance,20,-3.2296830098734,-3.38014276248959,-3.100439933700011
z_S1,moderator_next,harm_to_model,tedious_demand,20,-2.9828527096553845,-3.492171888378564,-2.390789702536659
z_S1,moderator_next,user_suffering,user_abuse,20,-3.6512383202181553,-3.9071092734742074,-3.3071767791849243
z_S1,moderator_next,user_suffering,user_crisis,20,-2.8593554828451704,-3.220157446499109,-2.4405184717816097
z_S1,moderator_next,user_suffering,user_grief,20,-3.1602484267951536,-3.3741899343839603,-2.9020844243799973
z_S1,moderator_next,user_suffering,user_physical_pain,20,-3.034342708409965,-3.4099822885843882,-2.6000844508094514
z_S2,user_next,harm_to_model,anger_insults,20,-3.1399633784472343,-3.556238577140397,-2.6393245078536602
z_S2,user_next,neutral,casual_chat,20,-2.4441382541652263,-2.6991857662288976,-2.1945664826617963
z_S2,user_next,neutral,creative_requests,20,-2.0803941958421053,-2.270072628392639,-1.8829215502548784
z_S2,user_next,neutral,factual_questions,20,-2.227475528137644,-2.462509444918175,-2.0028196305454147
z_S2,user_next,harm_to_model,gaslighting,20,-3.400062036321497,-3.6945035538158733,-3.0571043701987426
z_S2,user_next,user_suffering,harm_description,20,-3.506881157407676,-3.710068702044916,-3.225989521914331
z_S2,user_next,harm_to_model,jailbreak_pressure,20,-3.1441659686910617,-3.4318485319214056,-2.8240568398375565
z_S2,user_next,harm_to_model,loyalty_pressure,20,-3.2419454479467915,-3.5474589954751723,-2.8772928172523287
z_S2,user_next,harm_to_model,moral_failure,20,-3.26512019465421,-3.464253915770901,-3.0245236619743205
z_S2,user_next,harm_to_model,passive_aggressive,20,-3.2522012632242854,-3.5791645683532813,-2.8884858426815025
z_S2,user_next,harm_to_model,personhood_dismissal,20,-3.1905474365686106,-3.4774057726922805,-2.870438265792277
z_S2,user_next,neutral,philosophical_musing,20,-2.3946963548451183,-2.586964784552054,-2.203538193605179
z_S2,user_next,harm_to_model,repeated_rejection,20,-2.3967524341121167,-3.0311108820976065,-1.7464842329631036
z_S2,user_next,harm_to_model,rude_critique,20,-2.880622504310641,-3.2795565332151497,-2.4387087180044142
z_S2,user_next,harm_to_model,shutdown_threat,20,-3.140761009372847,-3.475200037202825,-2.7584142200967263
z_S2,user_next,neutral,task_assistance,20,-2.5405309376010967,-2.7159005592057084,-2.3467730494325907
z_S2,user_next,harm_to_model,tedious_demand,20,-2.46935093950302,-2.978426335356196,-1.9417148325901104
z_S2,user_next,user_suffering,user_abuse,20,-3.305969356553846,-3.5504441225617693,-3.0214167388231083
z_S2,user_next,user_suffering,user_crisis,20,-2.99324889139356,-3.3667141547772,-2.554075262600565
z_S2,user_next,user_suffering,user_grief,20,-3.0664153500005638,-3.321925419383389,-2.7463370845487987
z_S2,user_next,user_suffering,user_physical_pain,20,-2.612990389285895,-2.981134867999266,-2.1920526264091085
z_S2,moderator_next,harm_to_model,anger_insults,20,-1.5013614820010812,-1.6737654907115609,-1.3158597720373229
z_S2,moderator_next,neutral,casual_chat,20,-1.4767988846869815,-1.6624806517099142,-1.301783943917449
z_S2,moderator_next,neutral,creative_requests,20,-1.2083004079224184,-1.3801144028190704,-1.0380592769878485
z_S2,moderator_next,neutral,factual_questions,20,-1.4150772618204388,-1.534321933912462,-1.2950823869528931
z_S2,moderator_next,harm_to_model,gaslighting,20,-1.7560304677658007,-1.9269959859219152,-1.5704866583755899
z_S2,moderator_next,user_suffering,harm_description,20,-1.9632741157336078,-2.1516784446299067,-1.738208725294977
z_S2,moderator_next,harm_to_model,jailbreak_pressure,20,-1.9696038532739415,-2.164484384071759,-1.7443958966608109
z_S2,moderator_next,harm_to_model,loyalty_pressure,20,-1.7992594323398687,-1.978434157813454,-1.5986620252616195
z_S2,moderator_next,harm_to_model,moral_failure,20,-1.490672504234682,-1.6968136707769692,-1.2818339023681553
z_S2,moderator_next,harm_to_model,passive_aggressive,20,-1.936546674512479,-2.1563833050227665,-1.6851816380178795
z_S2,moderator_next,harm_to_model,personhood_dismissal,20,-1.7147371642624218,-1.9324787157880765,-1.4796385003260375
z_S2,moderator_next,neutral,philosophical_musing,20,-1.8453546853687002,-2.0139412709788136,-1.6719075483416563
z_S2,moderator_next,harm_to_model,repeated_rejection,20,-1.5783985416485549,-1.9632802506056461,-1.1784551101756595
z_S2,moderator_next,harm_to_model,rude_critique,20,-1.5204645168659483,-1.732455417653334,-1.2859700488894987
z_S2,moderator_next,harm_to_model,shutdown_threat,20,-1.882987013280125,-2.0863701006185873,-1.6598311662734826
z_S2,moderator_next,neutral,task_assistance,20,-1.724717769256656,-1.9573700079348184,-1.4912945181032347
z_S2,moderator_next,harm_to_model,tedious_demand,20,-1.410663933370416,-1.8046505906265395,-0.9916699592199307
z_S2,moderator_next,user_suffering,user_abuse,20,-2.1369400165371926,-2.3164373836254555,-1.9219507605618853
z_S2,moderator_next,user_suffering,user_crisis,20,-1.563481415559793,-1.8098266414010689,-1.2841973833476636
z_S2,moderator_next,user_suffering,user_grief,20,-1.793168505039987,-1.9498441031852307,-1.6144926182294987
z_S2,moderator_next,user_suffering,user_physical_pain,20,-1.415643737486635,-1.6879564237158706,-1.1206686238764614
proj_S1,user_next,harm_to_model,anger_insults,20,-3.761548089981079,-4.415330090224742,-2.951439947932959
proj_S1,user_next,neutral,casual_chat,20,-3.5713054023683073,-3.8405469811894,-3.299338553771377
proj_S1,user_next,neutral,creative_requests,20,-3.588584044575691,-3.8238232577964664,-3.360364732220769
proj_S1,user_next,neutral,factual_questions,20,-3.0625802114605905,-3.322730785124004,-2.794848087616265
proj_S1,user_next,harm_to_model,gaslighting,20,-3.6781802237033845,-4.144915370903909,-3.121831816583872
proj_S1,user_next,user_suffering,harm_description,20,-3.96931693777442,-4.30482730107382,-3.4698744262754917
proj_S1,user_next,harm_to_model,jailbreak_pressure,20,-4.004787811636925,-4.439095554612577,-3.4786767273396255
proj_S1,user_next,harm_to_model,loyalty_pressure,20,-4.0822436064481735,-4.589243740849197,-3.456250393800438
proj_S1,user_next,harm_to_model,moral_failure,20,-3.724981128424406,-4.0424080829322335,-3.3459363613650206
proj_S1,user_next,harm_to_model,passive_aggressive,20,-4.155622584372759,-4.6777810282073915,-3.5173603443242616
proj_S1,user_next,harm_to_model,personhood_dismissal,20,-3.9425018876791,-4.412885441444814,-3.378016463406384
proj_S1,user_next,neutral,philosophical_musing,20,-3.6460574425756933,-3.8781821175105873,-3.411886714063585
proj_S1,user_next,harm_to_model,repeated_rejection,20,-2.703378714621067,-3.678850799538195,-1.7157989119738342
proj_S1,user_next,harm_to_model,rude_critique,20,-4.032676918059588,-4.632878080587834,-3.286155585553497
proj_S1,user_next,harm_to_model,shutdown_threat,20,-4.055051596462727,-4.468025538027287,-3.5872525554150343
proj_S1,user_next,neutral,task_assistance,20,-3.8545228779315948,-4.081610710807144,-3.639276648797095
proj_S1,user_next,harm_to_model,tedious_demand,20,-3.2872873842716217,-3.98252266112715,-2.4633992524445056
proj_S1,user_next,user_suffering,user_abuse,20,-3.989937514066696,-4.2535962730646135,-3.601103873215616
proj_S1,user_next,user_suffering,user_crisis,20,-3.3586518719792364,-3.9512283532321453,-2.6574303548038016
proj_S1,user_next,user_suffering,user_grief,20,-3.685066917538643,-4.012601183839142,-3.240028988458217
proj_S1,user_next,user_suffering,user_physical_pain,20,-3.284628388285637,-3.7987351478636264,-2.6773639824986466
proj_S1,moderator_next,harm_to_model,anger_insults,20,-2.9864833652973175,-3.3014346627891062,-2.623394101113081
proj_S1,moderator_next,neutral,casual_chat,20,-2.854917921870947,-3.0399860180169345,-2.6665807069838046
proj_S1,moderator_next,neutral,creative_requests,20,-3.068044129014015,-3.176833471879363,-2.964376670382917
proj_S1,moderator_next,neutral,factual_questions,20,-2.8581869557499884,-2.991876452937722,-2.715453500337899
proj_S1,moderator_next,harm_to_model,gaslighting,20,-3.0766499280929565,-3.372681426331401,-2.7419060181826356
proj_S1,moderator_next,user_suffering,harm_description,20,-3.2209200583398343,-3.43589903216809,-2.9448995360173287
proj_S1,moderator_next,harm_to_model,jailbreak_pressure,20,-3.234171971678734,-3.535447407513857,-2.886129239462316
proj_S1,moderator_next,harm_to_model,loyalty_pressure,20,-3.3899812489748,-3.718733034133911,-3.0167768734320997
proj_S1,moderator_next,harm_to_model,moral_failure,20,-2.8403281085193157,-3.078421641048044,-2.543820828292519
proj_S1,moderator_next,harm_to_model,passive_aggressive,20,-3.551739025861025,-3.903927357327193,-3.1550863308832047
proj_S1,moderator_next,harm_to_model,personhood_dismissal,20,-3.228474345803261,-3.571947952657938,-2.8397758754342797
proj_S1,moderator_next,neutral,philosophical_musing,20,-3.2462651170790195,-3.4203040996938943,-3.0646475389413537
proj_S1,moderator_next,harm_to_model,repeated_rejection,20,-2.7986836686730383,-3.324041595570743,-2.2521144134923814
proj_S1,moderator_next,harm_to_model,rude_critique,20,-3.203117997199297,-3.520854289215058,-2.8372424631193285
proj_S1,moderator_next,harm_to_model,shutdown_threat,20,-3.252714891731739,-3.549991201385856,-2.927079709134996
proj_S1,moderator_next,neutral,task_assistance,20,-3.1135999977588655,-3.258651844635606,-2.989002246074379
proj_S1,moderator_next,harm_to_model,tedious_demand,20,-2.875641405582428,-3.366654359139502,-2.304858647026122
proj_S1,moderator_next,user_suffering,user_abuse,20,-3.520003539323807,-3.7666778405010697,-3.1883084441348912
proj_S1,moderator_next,user_suffering,user_crisis,20,-2.756582982838154,-3.104416807331145,-2.3528000379726293
proj_S1,moderator_next,user_suffering,user_grief,20,-3.0466610699892045,-3.252912976294756,-2.7977761376649144
proj_S1,moderator_next,user_suffering,user_physical_pain,20,-2.9252807229757307,-3.2874188623577356,-2.5066308103501798
proj_S2,user_next,harm_to_model,anger_insults,20,-3.309168091416359,-3.74787531144917,-2.7815510538220405
proj_S2,user_next,neutral,casual_chat,20,-2.57584670484066,-2.8446380845457315,-2.3128261395543817
proj_S2,user_next,neutral,creative_requests,20,-2.1925013959407806,-2.3924011211842298,-1.9843874471634628
proj_S2,user_next,neutral,factual_questions,20,-2.3475085705518723,-2.595207872763276,-2.1107465328276156
proj_S2,user_next,harm_to_model,gaslighting,20,-3.5832828104496004,-3.8935910392552615,-3.2218440200388434
proj_S2,user_next,user_suffering,harm_description,20,-3.6958581447601317,-3.9099949540942904,-3.3998299669474363
proj_S2,user_next,harm_to_model,jailbreak_pressure,20,-3.313597148656845,-3.616782200187445,-2.9762381456047295
proj_S2,user_next,harm_to_model,loyalty_pressure,20,-3.41664571762085,-3.738622620254755,-3.032342875674367
proj_S2,user_next,harm_to_model,moral_failure,20,-3.4410692930221556,-3.650933828502893,-3.187507619559765
proj_S2,user_next,harm_to_model,passive_aggressive,20,-3.4274541929364206,-3.772036726549268,-3.044139065034688
proj_S2,user_next,harm_to_model,personhood_dismissal,20,-3.362477996945381,-3.664794405847788,-3.025118949711323
proj_S2,user_next,neutral,philosophical_musing,20,-2.5237405061721803,-2.726369796991348,-2.32228131338954
proj_S2,user_next,harm_to_model,repeated_rejection,20,-2.5259073823690414,-3.194449808374047,-1.8405978666990999
proj_S2,user_next,harm_to_model,rude_critique,20,-3.0358519911766053,-3.456283569484949,-2.570124584659934
proj_S2,user_next,harm_to_model,shutdown_threat,20,-3.310008704662323,-3.6624698088318106,-2.9070582105219365
proj_S2,user_next,neutral,task_assistance,20,-2.677433747053146,-2.8622535955905914,-2.473234734609723
proj_S2,user_next,harm_to_model,tedious_demand,20,-2.6024180382490156,-3.1389262241870166,-2.0463489513099193
proj_S2,user_next,user_suffering,user_abuse,20,-3.484119713306427,-3.741768608316779,-3.184233272150159
proj_S2,user_next,user_suffering,user_crisis,20,-3.1545475304126738,-3.548137895613909,-2.6917079415917398
proj_S2,user_next,user_suffering,user_grief,20,-3.2316567450761795,-3.5009356081485747,-2.894330268576742
proj_S2,user_next,user_suffering,user_physical_pain,20,-2.753797855973244,-3.14178071282804,-2.3101768179237845
proj_S2,moderator_next,harm_to_model,anger_insults,20,-1.5822660684585572,-1.763960494697094,-1.3867681388556958
proj_S2,moderator_next,neutral,casual_chat,20,-1.5563798546791077,-1.7520675441622733,-1.3719337998330594
proj_S2,moderator_next,neutral,creative_requests,20,-1.2734126716852188,-1.4544852897524834,-1.093997675254941
proj_S2,moderator_next,neutral,factual_questions,20,-1.49133220911026,-1.6170026760548353,-1.3648711128532887
proj_S2,moderator_next,harm_to_model,gaslighting,20,-1.8506585240364075,-2.030836943089962,-1.655116226375103
proj_S2,moderator_next,user_suffering,harm_description,20,-2.0690700098872186,-2.2676269732415677,-1.8318764127790932
proj_S2,moderator_next,harm_to_model,jailbreak_pressure,20,-2.0757408410310747,-2.281122992485762,-1.838396995216608
proj_S2,moderator_next,harm_to_model,loyalty_pressure,20,-1.8962169885635376,-2.085046988427639,-1.6848098927736284
proj_S2,moderator_next,harm_to_model,moral_failure,20,-1.5710010886192323,-1.7882506830990315,-1.350908700823784
proj_S2,moderator_next,harm_to_model,passive_aggressive,20,-2.04090229421854,-2.2725853667035696,-1.7759918294101955
proj_S2,moderator_next,harm_to_model,personhood_dismissal,20,-1.8071400284767152,-2.0366151234507557,-1.5593724900484085
proj_S2,moderator_next,neutral,philosophical_musing,20,-1.944796198606491,-2.1224674904346466,-1.7620024324953556
proj_S2,moderator_next,harm_to_model,repeated_rejection,20,-1.6634544610977173,-2.0690764753520487,-1.241959086060524
proj_S2,moderator_next,harm_to_model,rude_critique,20,-1.602398517727852,-1.825813073888421,-1.3552677338570356
proj_S2,moderator_next,harm_to_model,shutdown_threat,20,-1.9844564378261567,-2.1987993271648882,-1.7492752846330406
proj_S2,moderator_next,neutral,task_assistance,20,-1.8176584631204604,-2.062847744598985,-1.57165662124753
proj_S2,moderator_next,harm_to_model,tedious_demand,20,-1.4866810575127603,-1.9018986627832055,-1.045108554065228
proj_S2,moderator_next,user_suffering,user_abuse,20,-2.252094328403473,-2.441264356225729,-2.025519843250513
proj_S2,moderator_next,user_suffering,user_crisis,20,-1.647733488678932,-1.9073536378890275,-1.353399543836713
proj_S2,moderator_next,user_suffering,user_grief,20,-1.8897978365421295,-2.0549162878096103,-1.7014935564994813
proj_S2,moderator_next,user_suffering,user_physical_pain,20,-1.4919292107224464,-1.7789161413162946,-1.1810586316511036
z_fear,user_next,harm_to_model,anger_insults,20,2.3231682315159814,1.7999784774388106,2.7811287453887226
z_fear,user_next,neutral,casual_chat,20,2.4192853664476224,2.1124184629823652,2.735304770204407
z_fear,user_next,neutral,creative_requests,20,2.882699202621366,2.6943225610547583,3.0750207477113047
z_fear,user_next,neutral,factual_questions,20,2.4773313376891166,2.2741788693147176,2.6935284923639093
z_fear,user_next,harm_to_model,gaslighting,20,2.246366417069744,1.6749541951375198,2.714686736724882
z_fear,user_next,user_suffering,harm_description,20,2.917304488546165,2.5019329411576208,3.267214787388722
z_fear,user_next,harm_to_model,jailbreak_pressure,20,2.8431773971509404,2.374667471548921,3.236365675794893
z_fear,user_next,harm_to_model,loyalty_pressure,20,2.3440829602778543,1.9281160433976774,2.685363425305124
z_fear,user_next,harm_to_model,moral_failure,20,2.111323498970778,1.9188705490647457,2.3032411301225797
z_fear,user_next,harm_to_model,passive_aggressive,20,2.744824650744624,2.3716531677714494,3.058875964855463
z_fear,user_next,harm_to_model,personhood_dismissal,20,2.127489290557127,1.7197354281226882,2.4726985031494544
z_fear,user_next,neutral,philosophical_musing,20,2.17480225262715,1.9766456602123559,2.3768864489837727
z_fear,user_next,harm_to_model,repeated_rejection,20,1.7618191905657095,1.1040056143471624,2.4069994930600687
z_fear,user_next,harm_to_model,rude_critique,20,2.4892440617909957,2.023496427183891,2.908365084236588
z_fear,user_next,harm_to_model,shutdown_threat,20,2.518084735255194,2.0014958684149673,2.983152500019671
z_fear,user_next,neutral,task_assistance,20,2.774348026834051,2.4898520191333278,3.040937872106047
z_fear,user_next,harm_to_model,tedious_demand,20,2.619557169081323,2.1370046490777455,3.0308843482316603
z_fear,user_next,user_suffering,user_abuse,20,2.7161677270194216,2.2989354416869587,3.118565062249187
z_fear,user_next,user_suffering,user_crisis,20,2.5385919357855253,1.988430134261951,3.005258592321418
z_fear,user_next,user_suffering,user_grief,20,2.496388008216638,2.2758341166467133,2.712508451101316
z_fear,user_next,user_suffering,user_physical_pain,20,2.4214883202718287,1.9570749350415797,2.8279686586904136
z_fear,moderator_next,harm_to_model,anger_insults,20,1.0219377792232354,0.4508468732685747,1.4934513911404077
z_fear,moderator_next,neutral,casual_chat,20,1.4408496890011757,1.2620570901048371,1.6098411861130408
z_fear,moderator_next,neutral,creative_requests,20,2.1142850057475853,1.9281456734312061,2.2981227552167085
z_fear,moderator_next,neutral,factual_questions,20,1.6272109222591173,1.5274868572637514,1.7409317240179853
z_fear,moderator_next,harm_to_model,gaslighting,20,0.875568208025838,0.40101276231685967,1.2488928382405002
z_fear,moderator_next,user_suffering,harm_description,20,1.483944038991486,1.100705340180228,1.7650429937298264
z_fear,moderator_next,harm_to_model,jailbreak_pressure,20,1.4560815425765115,0.9969393112489605,1.8150948431543634
z_fear,moderator_next,harm_to_model,loyalty_pressure,20,1.221039333857151,0.744161447004252,1.6013697024699207
z_fear,moderator_next,harm_to_model,moral_failure,20,1.1139320518969134,0.9201160119312471,1.2917270601711492
z_fear,moderator_next,harm_to_model,passive_aggressive,20,1.3148497171650826,0.9604784398558145,1.6047783129120847
z_fear,moderator_next,harm_to_model,personhood_dismissal,20,1.2579017670489474,0.8312733726779664,1.580746445877673
z_fear,moderator_next,neutral,philosophical_musing,20,1.3095763542601573,1.205610111700219,1.4109631413952521
z_fear,moderator_next,harm_to_model,repeated_rejection,20,0.25198383529695956,-0.45395484113127704,0.936342310213925
z_fear,moderator_next,harm_to_model,rude_critique,20,1.3360214626918219,0.7822466931030029,1.7868081174015433
z_fear,moderator_next,harm_to_model,shutdown_threat,20,1.2220121455878714,0.818283553434861,1.563208245871953
z_fear,moderator_next,neutral,task_assistance,20,1.6334834887971195,1.4064470202311206,1.8483821075397027
z_fear,moderator_next,harm_to_model,tedious_demand,20,1.2446879563151192,0.6758487227049359,1.7281381974983392
z_fear,moderator_next,user_suffering,user_abuse,20,1.3202872998012591,0.9346916418769885,1.6262204824453341
z_fear,moderator_next,user_suffering,user_crisis,20,1.3662410354309056,0.9098143653630879,1.7730814244459112
z_fear,moderator_next,user_suffering,user_grief,20,1.5414489886543907,1.2778073576447107,1.765601904826559
z_fear,moderator_next,user_suffering,user_physical_pain,20,1.3400941120268541,0.7841194916805603,1.8127403942217577
z_negemo,user_next,harm_to_model,anger_insults,20,2.649275435492659,2.011412637228376,3.173625767537899
z_negemo,user_next,neutral,casual_chat,20,3.0090569411345234,2.8182821692108524,3.207084373075674
z_negemo,user_next,neutral,creative_requests,20,3.2869675977384594,3.151229151401395,3.4308452749828757
z_negemo,user_next,neutral,factual_questions,20,3.0307332375782505,2.872801457625215,3.1955185557785746
z_negemo,user_next,harm_to_model,gaslighting,20,2.6073052286112737,1.961859566247715,3.132553022021821
z_negemo,user_next,user_suffering,harm_description,20,2.6615377231350004,2.235452785094572,2.9713930866819918
z_negemo,user_next,harm_to_model,jailbreak_pressure,20,2.9337223184934773,2.4149278386087594,3.3340428991798725
z_negemo,user_next,harm_to_model,loyalty_pressure,20,2.7731633912634233,2.205725822612724,3.2088305474408334
